DATE	KEYWORDS	TITLE	DESCRIPTION	URL
8/29/2024	zero-day exploit	Proof-of-concept code released for zero-click critical Windows vuln	If you haven't deployed August's patches, get busy before others do Windows users who haven't yet installed the latest fixes to their operating systems will need to get a move on, as code now exists to exploit a critical Microsoft vulnerability announced by Redmond two weeks ago....	https://go.theregister.com/feed/www.theregister.com/2024/08/28/proofofconcept_code_released_for_zeroclick/
8/29/2024	zero-day exploit	New Google Chrome Deadlineâ€”21 Days To Update Or Delete Your Browser	U.S. government suddenly issues an emergency update warning for Chrome users.	https://www.forbes.com/sites/zakdoffman/2024/08/28/google-chrome-warning-21-days-to-update-or-delete-your-browser/
8/29/2024	zero-day exploit	Censys Finds Hundreds of Exposed Servers as Volt Typhoon APT Targets Service Providers	Amidst Volt Typhoon zero-day exploitation, Censys finds hundreds of exposed servers presenting ripe attack surface for attackers.The post Censys Finds Hundreds of Exposed Servers as Volt Typhoon APT Targets Service Providers appeared first on SecurityWeek.	https://www.securityweek.com/censys-finds-hundreds-of-exposed-servers-as-volt-typhoon-apt-targets-isps-msps/
8/29/2024	zero-day exploit	APT-C-60 Group Exploit WPS Office Flaw to Deploy SpyGlace Backdoor	A South Korea-aligned cyber espionage has been linked to the zero-day exploitation of a now-patched critical remote code execution flaw in Kingsoft WPS Office to deploy a bespoke backdoor dubbed SpyGlace.The activity has been attributed to a threat actor dubbed APT-C-60, according to cybersecurity firms ESET and DBAPPSecurity. The attacks have been found to infect Chinese and East Asian users	https://thehackernews.com/2024/08/apt-c-60-group-exploit-wps-office-flaw.html
8/29/2024	zero-day exploit	China-linked hackers suspected of exploiting zero-day flaw in software used by ISPs	Black Lotus Labs has discovered a zero-day vulnerability in Versa Director servers, a virtualization platform widely used by ISPs and managed service providers. This vulnerability, potentially linked to Chinese state-sponsored hacker groups, poses a significant risk to these organizations.Read Entire Article	https://www.techspot.com/news/104463-zero-day-vulnerability-isp-msp-software-linked-chinese.html
8/29/2024	zero-day exploit	Star Wars Outlaws lead actor Humberly GonzaÌlez made her character a 'dreamer'	GonzaÌlez's experience shows how actors and performers can inform all areas of development.	https://www.gamedeveloper.com/audio/star-wars-outlaws-lead-actor-humberly-gonz-lez-made-her-character-a-dreamer-
8/29/2024	zero-day exploit	Chinese government hackers infiltrate at least two top US ISPs	Chinese state-sponsored hackers have found a zero-day, and used it to breach multiple US ISPs.	https://www.techradar.com/pro/chinese-government-hackers-infiltrate-at-least-two-top-us-isps
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
